Increments,Abscissas in µm,Raw data,Smoothed data,Raw - Smoothed data,Smoothed data*Gain + Offset
186,1210.210,35712,30356.354,5355.646,35856.133
187,1216.717,37146,31604.033,5541.967,37453.163
188,1223.223,39607,33021.977,6585.023,39268.131
189,1229.730,41212,34355.905,6856.095,40975.558
190,1236.236,43730,35775.100,7954.900,42792.128
191,1242.743,45221,37018.641,8202.359,44383.860
192,1249.249,47302,38244.339,9057.661,45952.753
193,1255.756,48392,39239.513,9152.487,47226.577
194,1262.262,49282,40093.300,9188.700,48319.424
195,1268.769,50251,40831.650,9419.350,49264.511
196,1275.275,50662,41367.871,9294.129,49950.875
197,1281.782,51023,41776.624,9246.376,50474.079
198,1288.288,51155,42034.306,9120.694,50803.912
199,1294.795,51215,42187.429,9027.571,50999.909
200,1301.301,51213,42223.170,8989.830,51045.657
201,1307.808,51171,42172.748,8998.252,50981.117
202,1314.314,50968,42008.232,8959.768,50770.536
203,1320.821,50794,41757.928,9036.072,50450.148
204,1327.327,50317,41391.424,8925.576,49981.022
205,1333.834,49959,40929.797,9029.203,49390.140
206,1340.340,49517,40365.048,9151.952,48667.261
207,1346.847,48456,39612.294,8843.706,47703.736
208,1353.353,47692,38794.032,8897.968,46656.361
209,1359.860,45968,37778.721,8189.279,45356.763
210,1366.366,44826,36737.470,8088.530,44023.961
211,1372.873,43587,35618.558,7968.442,42591.755
212,1379.379,41203,34325.092,6877.908,40936.118
213,1385.886,39874,33113.365,6760.635,39385.107
214,1392.392,37523,31791.162,5731.838,37692.687
215,1398.899,36319,30625.913,5693.087,36201.169
216,1405.405,35175,29509.103,5665.897,34771.652
217,1411.912,33256,28371.488,4884.512,33315.505
218,1418.418,32316,27406.659,4909.341,32080.524
219,1424.925,31447,26524.310,4922.690,30951.117
220,1431.431,30073,25680.921,4392.079,29871.579
221,1437.938,29437,24998.739,4438.261,28998.386
222,1444.444,28478,24383.963,4094.037,28211.473
223,1450.951,28077,23914.046,4162.954,27609.979
224,1457.457,27756,23534.022,4221.978,27123.548
225,1463.964,27314,23231.559,4082.441,26736.396
226,1470.470,27194,23036.603,4157.397,26486.852
227,1476.977,27133,22921.824,4211.176,26339.935
228,1483.483,27042,22883.128,4158.872,26290.404
229,1489.990,27114,22929.940,4184.060,26350.323
230,1496.496,27231,23065.788,4165.212,26524.209
231,1503.003,27436,23284.684,4151.316,26804.395
232,1509.510,27720,23601.222,4118.778,27209.564
233,1516.016,28097,24020.314,4076.686,27746.002
234,1522.523,28773,24566.048,4206.952,28444.541
235,1529.029,29441,25220.932,4220.068,29282.793
236,1535.536,30245,25996.891,4248.109,30276.020
237,1542.042,31548,26932.550,4615.450,31473.664
238,1548.549,32693,27948.772,4744.228,32774.428
239,1555.055,34459,29130.032,5328.968,34286.441
240,1561.562,35929,30345.599,5583.401,35842.367
241,1568.068,37517,31622.412,5894.588,37476.688
242,1574.575,39799,32999.944,6799.056,39239.929
243,1581.081,41526,34303.118,7222.882,40907.991
244,1587.588,43234,35561.407,7672.593,42518.601
245,1594.094,44857,36732.895,8124.105,44018.106
246,1600.601,46823,37840.247,8982.753,45435.517
247,1607.107,47951,38708.607,9242.393,46547.017
248,1613.614,48788,39368.292,9419.708,47391.414
249,1620.120,49499,39829.861,9669.139,47982.222
250,1626.627,49690,40027.197,9662.803,48234.812
251,1633.133,49678,39982.356,9695.644,48177.416
252,1639.640,49295,39693.804,9601.196,47808.069
253,1646.146,48718,39187.887,9530.113,47160.496
254,1652.653,47865,38457.651,9407.349,46225.793
255,1659.159,46049,37438.557,8610.443,44921.353
256,1665.666,44536,36322.623,8213.377,43492.957
257,1672.172,42884,35090.380,7793.620,41915.687
258,1678.679,40187,33663.992,6523.008,40089.910
259,1685.185,38475,32330.629,6144.371,38383.205
260,1691.692,36883,31029.845,5853.155,36718.202
261,1698.198,35449,29783.084,5665.916,35122.347
262,1704.705,33144,28483.813,4660.187,33459.280
263,1711.211,32061,27420.429,4640.571,32098.149
264,1717.718,31159,26480.045,4678.955,30894.458
265,1724.224,29487,25548.362,3938.638,29701.903
266,1730.731,28933,24878.055,4054.945,28843.910
267,1737.237,28535,24342.966,4192.034,28158.997
268,1743.744,28285,23930.241,4354.759,27630.709
269,1750.250,27360,23528.652,3831.348,27116.674
270,1756.757,27394,23354.155,4039.845,26893.318
271,1763.263,27561,23289.311,4271.689,26810.318
272,1769.770,27062,23241.553,3820.447,26749.188
273,1776.276,27438,23389.999,4048.001,26939.198
274,1782.783,27915,23639.447,4275.553,27258.493
275,1789.289,28487,23981.768,4505.232,27696.663
276,1795.796,28398,24334.969,4063.031,28148.760
277,1802.302,29175,24882.643,4292.357,28849.783
278,1808.809,30071,25537.667,4533.333,29688.213
279,1815.315,31098,26296.410,4801.590,30659.405
280,1821.822,31601,27100.182,4500.818,31688.233
281,1828.328,32926,28083.743,4842.257,32947.191
282,1834.835,34405,29173.484,5231.516,34342.059
283,1841.341,36029,30352.755,5676.245,35851.526
